region_type,region,date,statistic,num_people
state,"Alabama, US (State/Province)",2020-03-13,active,5
state,"Alabama, US (State/Province)",2020-03-13,confirmed,5
state,"Alabama, US (State/Province)",2020-03-13,deaths,0
state,"Alabama, US (State/Province)",2020-03-13,recovered,0
state,"Alabama, US (State/Province)",2020-03-14,active,6
state,"Alabama, US (State/Province)",2020-03-14,confirmed,6
state,"Alabama, US (State/Province)",2020-03-14,deaths,0
state,"Alabama, US (State/Province)",2020-03-14,recovered,0
state,"Alabama, US (State/Province)",2020-03-15,active,12
state,"Alabama, US (State/Province)",2020-03-15,confirmed,12
state,"Alabama, US (State/Province)",2020-03-15,deaths,0
state,"Alabama, US (State/Province)",2020-03-15,recovered,0
state,"Alaska, US (State/Province)",2020-03-10,active,0
state,"Alaska, US (State/Province)",2020-03-10,confirmed,0
state,"Alaska, US (State/Province)",2020-03-10,deaths,0
state,"Alaska, US (State/Province)",2020-03-10,recovered,0
state,"Alaska, US (State/Province)",2020-03-11,active,0
state,"Alaska, US (State/Province)",2020-03-11,confirmed,0
state,"Alaska, US (State/Province)",2020-03-11,deaths,0
state,"Alaska, US (State/Province)",2020-03-11,recovered,0
state,"Alaska, US (State/Province)",2020-03-12,active,0
state,"Alaska, US (State/Province)",2020-03-12,confirmed,0
state,"Alaska, US (State/Province)",2020-03-12,deaths,0
state,"Alaska, US (State/Province)",2020-03-12,recovered,0
state,"Alaska, US (State/Province)",2020-03-13,active,1
state,"Alaska, US (State/Province)",2020-03-13,confirmed,1
state,"Alaska, US (State/Province)",2020-03-13,deaths,0
state,"Alaska, US (State/Province)",2020-03-13,recovered,0
state,"Alaska, US (State/Province)",2020-03-15,active,1
state,"Alaska, US (State/Province)",2020-03-15,confirmed,1
state,"Alaska, US (State/Province)",2020-03-15,deaths,0
state,"Alaska, US (State/Province)",2020-03-15,recovered,0
state,"Alberta, Canada (State/Province)",2020-03-06,active,1
state,"Alberta, Canada (State/Province)",2020-03-06,confirmed,1
state,"Alberta, Canada (State/Province)",2020-03-06,deaths,0
state,"Alberta, Canada (State/Province)",2020-03-06,recovered,0
state,"Alberta, Canada (State/Province)",2020-03-07,active,2
state,"Alberta, Canada (State/Province)",2020-03-07,confirmed,2
state,"Alberta, Canada (State/Province)",2020-03-07,deaths,0
